id,SourceIdRef,productId,category_id,title,description,imageUrlStr,productImageUrls,mrp,sellingPrice,specialPrice,productUrl,categories,productBrand,productFamily,inStock,codAvailable,offers,discount,shippingCharges,deliveryTime,size,color,sizeUnit,storage,displaySize,keySpecsStr,detailedSpecsStr,specificationList,sellerName,sellerAverageRating,sellerNoOfRatings,sellerNoOfReviews,sleeve,neck,idealFor,curatedDescription,mRating,mTags,source,IsActive,created_date,updated_date
2,2,HMBFEHFT74HWX5GZ,1,"ALDO Hand-held Bag(Black)","Treat yourself to a beautiful accessory; get this lovely black handbag from the house of Aldo. With an outer body crafted in polyester with textile lining on the inside, the bag speaks of sheer luxury and unmatched excellence. A magnetic button closure, one large compartment and sturdy handles impart utility and added aesthetics. Match this black bag with one of your favourite tee, a pair of blue slim fit jeans, and a pair of patent pumps for a stunning date outfit",https://rukminim1.flixcart.com/image/200/200/jt7jhjk0/hand-messenger-bag/5/g/z/nusz98-nusz98-hand-held-bag-aldo-original-imafemf7cagsczdp.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jt7jhjk0/hand-messenger-bag/5/g/z/nusz98-nusz98-hand-held-bag-aldo-original-imafemf7cagsczdp.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jt7jhjk0/hand-messenger-bag/5/g/z/nusz98-nusz98-hand-held-bag-aldo-original-imafemf7cagsczdp.jpeg?q=90,,8999.0,8999.0,8999.0,http://www.flipkart.com/aldo-hand-held-bag/p/itmfemymgs4mzpu5?pid=HMBFEHFT74HWX5GZ,"Lifestyle>Leather & Travel Accessories>Bags>Hand Bags",ALDO,HMBFEHFT74HWX5GZ,null,TRUE,0,0,0.0,,0,Black,0,0,0,"For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 5.0 mm x 15.0 inch","For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 5.0 mm x 15.0 inch",0,"Major Brands India Pvt Ltd",0.0,0,0,0,0,,"Treat yourself to a beautiful accessory; get this lovely black handbag from the house of Aldo. With an outer body crafted in polyester with textile lining on the inside, the bag speaks of sheer luxury and unmatched excellence. A magnetic button closure, one large compartment and sturdy handles impart utility and added aesthetics. Match this black bag with one of your favourite tee, a pair of blue slim fit jeans, and a pair of patent pumps for a stunning date outfit",,,flipkart,1,"2019-06-12 14:10:24","2019-09-18 03:01:01"
188,188,HMBE4HZTHEPVK6F6,1,"The House of Tara Shoulder Bag(Multicolor)","Tote Bag made in printed cotton canvas with different prints on 2 sides. It has jute chord handles and embellished with attractive cotton thread and glass beads tassle. Lined with polyester fabric with coin and mobile pockets.",https://rukminim1.flixcart.com/image/200/200/hand-messenger-bag/6/f/6/htt-273-the-house-of-tara-shoulder-bag-printed-canvas-273-original-imae4ha6rsphvnqg.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/hand-messenger-bag/6/f/6/htt-273-the-house-of-tara-shoulder-bag-printed-canvas-273-original-imae4ha6rsphvnqg.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/hand-messenger-bag/6/f/6/htt-273-the-house-of-tara-shoulder-bag-printed-canvas-273-original-imae4ha6rsphvnqg.jpeg?q=90,,799.0,799.0,674.0,http://www.flipkart.com/house-tara-shoulder-bag/p/itmf3vf3eyghnu7f?pid=HMBE4HZTHEPVK6F6,"Lifestyle>Leather & Travel Accessories>Bags>Shoulder Bags","The House of Tara",HMBE4HZTHEPVK6F6,true,TRUE,0,15,0.0,"Usually Delivered in 5 - 6 days.",0,Multicolor,0,0,0,"For Women;Material: Canvas, Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 394 mm x 305 mm","For Women;Material: Canvas, Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 394 mm x 305 mm",0,"Vandit Aneja",0.0,0,0,0,0,,"Tote Bag made in printed cotton canvas with different prints on 2 sides. It has jute chord handles and embellished with attractive cotton thread and glass beads tassle. Lined with polyester fabric with coin and mobile pockets.",,,flipkart,1,"2019-06-12 14:10:31","2019-06-25 04:39:10"
505,505,HMBFEHYJ3GA4CGPA,1,"ALDO Hand-held Bag(Black)","A handbag can say a lot about your personality; so make sure you choose the best. This black handbag features solid pattern, zipper closure, with one compartment and lock ley hardware detailing at the front for added aesthetics. The handbag is composed using polyester for the outer body while textile forms the inner; great to carry along while going out for lunch with friends and family.",https://rukminim1.flixcart.com/image/200/200/jt7jhjk0/hand-messenger-bag/g/p/a/genualdi98-genualdi98-hand-held-bag-aldo-original-imafehy8tgyuqvfe.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jt7jhjk0/hand-messenger-bag/g/p/a/genualdi98-genualdi98-hand-held-bag-aldo-original-imafehy8tgyuqvfe.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jt7jhjk0/hand-messenger-bag/g/p/a/genualdi98-genualdi98-hand-held-bag-aldo-original-imafehy8tgyuqvfe.jpeg?q=90,,8999.0,8999.0,8999.0,http://www.flipkart.com/aldo-hand-held-bag/p/itmfehxhgrcvkhgm?pid=HMBFEHYJ3GA4CGPA,"Lifestyle>Leather & Travel Accessories>Bags>Hand Bags",ALDO,HMBFEHYJ3GA4CGPA,TRUE,TRUE,0,0,0.0,,0,Black,0,0,0,"For Women;Material: Polyester;Closure: Zip;Casual Bag;Width x Height : 5.0 inch x 15.0 inch","For Women;Material: Polyester;Closure: Zip;Casual Bag;Width x Height : 5.0 inch x 15.0 inch",0,"Major Brands India Pvt Ltd",0.0,0,0,0,0,,"A handbag can say a lot about your personality; so make sure you choose the best. This black handbag features solid pattern, zipper closure, with one compartment and lock ley hardware detailing at the front for added aesthetics. The handbag is composed using polyester for the outer body while textile forms the inner; great to carry along while going out for lunch with friends and family.",,,flipkart,1,"2019-06-12 14:10:42","2019-06-25 07:18:34"
544,544,HMBFEH2PZQH9EGKE,1,"ALDO Hand-held Bag(White)","Carry your essentials with you whenever going out in this off white handbag from the house of Aldo. The handbag is manufactured using polyester outer with textile inner lining, for the durability and sturdiness. It is large enough to hold your phone, money, cards, make-up and then some more. It features a zipper closure with one compartment, double handles and metal hardware detailing for added aesthetics.",https://rukminim1.flixcart.com/image/200/200/jt8yxe80/hand-messenger-bag/g/k/e/handful32-handful32-hand-held-bag-aldo-original-imafemhjyc6udpae.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jt8yxe80/hand-messenger-bag/g/k/e/handful32-handful32-hand-held-bag-aldo-original-imafemhjyc6udpae.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jt8yxe80/hand-messenger-bag/g/k/e/handful32-handful32-hand-held-bag-aldo-original-imafemhjyc6udpae.jpeg?q=90,,7999.0,7999.0,7999.0,http://www.flipkart.com/aldo-hand-held-bag/p/itmfemgmxqdzayeb?pid=HMBFEH2PZQH9EGKE,"Lifestyle>Leather & Travel Accessories>Bags>Hand Bags",ALDO,HMBFEH2PZQH9EGKE,TRUE,TRUE,0,0,0.0,,0,White,0,0,0,"For Women;Material: Polyester;Closure: Zip;Casual Bag;Width x Height : 9 inch x 14 inch","For Women;Material: Polyester;Closure: Zip;Casual Bag;Width x Height : 9 inch x 14 inch",0,"Major Brands India Pvt Ltd",0.0,0,0,0,0,,"Carry your essentials with you whenever going out in this off white handbag from the house of Aldo. The handbag is manufactured using polyester outer with textile inner lining, for the durability and sturdiness. It is large enough to hold your phone, money, cards, make-up and then some more. It features a zipper closure with one compartment, double handles and metal hardware detailing for added aesthetics.",,,flipkart,1,"2019-06-12 14:10:44","2019-06-25 07:38:10"
582,582,HMBFEH535MVAGYXT,1,"ALDO Hand-held Bag(Tan)","Treat yourself by picking this fashionable tan handbag from the house of Aldo. Crafted using polyester and adorned with textile inner lining, the bag is tantamount to unmatched quality. With a magnetic button closure, one compartment and sturdy handles, aesthetics and utility march in. Match this black bag with one of your favourite tees, a pair of slim fit jeans, and a pair of patent pumps for a stunning date look.",https://rukminim1.flixcart.com/image/200/200/jtd98y80/hand-messenger-bag/y/x/t/nusz28-nusz28-hand-held-bag-aldo-original-imafeqe7ytdczfz8.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jtd98y80/hand-messenger-bag/y/x/t/nusz28-nusz28-hand-held-bag-aldo-original-imafeqe7ytdczfz8.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jtd98y80/hand-messenger-bag/y/x/t/nusz28-nusz28-hand-held-bag-aldo-original-imafeqe7ytdczfz8.jpeg?q=90,,8999.0,8999.0,8999.0,http://www.flipkart.com/aldo-hand-held-bag/p/itmfeqdkcwzh9ets?pid=HMBFEH535MVAGYXT,"Lifestyle>Leather & Travel Accessories>Bags>Hand Bags",ALDO,HMBFEH535MVAGYXT,TRUE,TRUE,0,0,0.0,,0,Tan,0,0,0,"For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 12.5 inch x 15.0 inch","For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 12.5 inch x 15.0 inch",0,"Major Brands India Pvt Ltd",0.0,0,0,0,0,,"Treat yourself by picking this fashionable tan handbag from the house of Aldo. Crafted using polyester and adorned with textile inner lining, the bag is tantamount to unmatched quality. With a magnetic button closure, one compartment and sturdy handles, aesthetics and utility march in. Match this black bag with one of your favourite tees, a pair of slim fit jeans, and a pair of patent pumps for a stunning date look.",,,flipkart,1,"2019-06-12 14:10:45","2019-06-25 07:57:17"
734,734,HMBFEKZSMEDEQFJ4,1,"ALDO Hand-held Bag(Multicolor)","Complete your high-end fashion statement with this exclusive looking multi-coloured handbag from the house of Aldo. The handbag features a turn-lock closure, one main compartment, two pockets and a scarf tied for added aesthetics. It is crafted using synthetic for the outer body and textile for the inner body. It will look great when wearing all black outfit.",https://rukminim1.flixcart.com/image/200/200/jt7jhjk0/hand-messenger-bag/f/j/4/glendaa2-glendaa2-hand-held-bag-aldo-original-imafem23gpzqxj5e.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jt7jhjk0/hand-messenger-bag/f/j/4/glendaa2-glendaa2-hand-held-bag-aldo-original-imafem23gpzqxj5e.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jt7jhjk0/hand-messenger-bag/f/j/4/glendaa2-glendaa2-hand-held-bag-aldo-original-imafem23gpzqxj5e.jpeg?q=90,,6499.0,6499.0,6499.0,http://www.flipkart.com/aldo-hand-held-bag/p/itmfemyv8pt6ctrh?pid=HMBFEKZSMEDEQFJ4,"Lifestyle>Leather & Travel Accessories>Bags>Hand Bags",ALDO,HMBFEKZSMEDEQFJ4,TRUE,TRUE,0,0,0.0,,0,Multicolor,0,0,0,"For Women;Material: Synthetic Fabric;Closure: Turnlock;Casual Bag;Width x Height : 5.0 mm x 11.0 inch","For Women;Material: Synthetic Fabric;Closure: Turnlock;Casual Bag;Width x Height : 5.0 mm x 11.0 inch",0,"Major Brands India Pvt Ltd",0.0,0,0,0,0,,"Complete your high-end fashion statement with this exclusive looking multi-coloured handbag from the house of Aldo. The handbag features a turn-lock closure, one main compartment, two pockets and a scarf tied for added aesthetics. It is crafted using synthetic for the outer body and textile for the inner body. It will look great when wearing all black outfit.",,,flipkart,1,"2019-06-12 14:10:53","2019-06-25 09:13:43"
917,917,HMBFG5NBHXMJXRZY,1,"Hidesign Sling Bag(Red)","With a flick of the tassel and a wink of the eye; the Flirt Sling Bag from the HidesignxKalki collection is an exquisitely designed handbag. Handcrafted in contrasting leathers with a top zip compartment, multiple pockets and half circle solid brass handles this bag is an easy pick for a date night.",https://rukminim1.flixcart.com/image/200/200/jv8exzk0/hand-messenger-bag/r/z/y/flirt-02-croco-reg-marsala-metallic-flirt-02-sling-bag-hidesign-original-imafg6xad6kdbkzq.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jv8exzk0/hand-messenger-bag/r/z/y/flirt-02-croco-reg-marsala-metallic-flirt-02-sling-bag-hidesign-original-imafg6xad6kdbkzq.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jv8exzk0/hand-messenger-bag/r/z/y/flirt-02-croco-reg-marsala-metallic-flirt-02-sling-bag-hidesign-original-imafg6xad6kdbkzq.jpeg?q=90,,NULL,5295.0,NULL,http://www.flipkart.com/hidesign-sling-bag/p/itmfg6x2shute6f2?pid=HMBFG5NBHXMJXRZY,"Lifestyle>Leather & Travel Accessories>Bags>Sling Bags",Hidesign,HMBFG5NBHXMJXRZY,TRUE,TRUE,0,NULL,0.0,"Usually Delivered in 6 - 7 days.",0,Red,0,0,0,"For Women;Material: Genuine Leather;Closure: Zip;Casual Bag;Width x Height : 6.0 cm x 15.0 cm","For Women;Material: Genuine Leather;Closure: Zip;Casual Bag;Width x Height : 6.0 cm x 15.0 cm",0,Hidesign,0.0,0,0,0,0,,"With a flick of the tassel and a wink of the eye; the Flirt Sling Bag from the HidesignxKalki collection is an exquisitely designed handbag. Handcrafted in contrasting leathers with a top zip compartment, multiple pockets and half circle solid brass handles this bag is an easy pick for a date night.",,,flipkart,1,"2019-06-12 14:10:59","2019-06-25 10:45:46"
936,936,HMBFEH27KCYDHNHC,1,"ALDO Hand-held Bag(Brown)","Endearing a classic look, this black purse by Aldo is perfect for keeping all your cards and currency most efficiently and compactly. Designed with highly durable polyester and textile, this purse features a zippered closure with a heart-shaped golden chain along with two main compartments for optimum style and functionality. Suitable for a wide range of occasions, this textured purse is a great addition to your closet.",https://rukminim1.flixcart.com/image/200/200/jt8yxe80/hand-messenger-bag/n/h/c/viremma37-viremma37-hand-held-bag-aldo-original-imafemjphmwhyash.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jt8yxe80/hand-messenger-bag/n/h/c/viremma37-viremma37-hand-held-bag-aldo-original-imafemjphmwhyash.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jt8yxe80/hand-messenger-bag/n/h/c/viremma37-viremma37-hand-held-bag-aldo-original-imafemjphmwhyash.jpeg?q=90,,8999.0,8999.0,8999.0,http://www.flipkart.com/aldo-hand-held-bag/p/itmfemggyavrymus?pid=HMBFEH27KCYDHNHC,"Lifestyle>Leather & Travel Accessories>Bags>Hand Bags",ALDO,HMBFEH27KCYDHNHC,TRUE,TRUE,0,0,0.0,,0,Brown,0,0,0,"For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 9.0 inch x 14.0 inch","For Women;Material: Polyester;Closure: Magnetic Snap;Casual Bag;Width x Height : 9.0 inch x 14.0 inch",0,"Major Brands India Pvt Ltd",0.0,0,0,0,0,,"Endearing a classic look, this black purse by Aldo is perfect for keeping all your cards and currency most efficiently and compactly. Designed with highly durable polyester and textile, this purse features a zippered closure with a heart-shaped golden chain along with two main compartments for optimum style and functionality. Suitable for a wide range of occasions, this textured purse is a great addition to your closet.",,,flipkart,1,"2019-06-12 14:11:00","2019-06-25 10:55:19"
975,975,SLBF8SYSJH4GEFVJ,1,"The House of Tara Men & Women Casual Black Canvas, Fabric Messenger Bag","This Crossbody Messenger Bag made in specially treated canvas fabric is stylishly crafted for everyday use. It has a zip pocket at the back to keep your quick access items. The inside lining has two slip pockets to keep your mobile etc and one more zip pocket. The main compartment has a flap and dog buckle closure. The flap is embellished with metal studs that enhance the overall appeal of the bag. The bag has a short haul handle and an adjustable shoulder strap for ease of carrying.",https://rukminim1.flixcart.com/image/200/200/jmnrtzk0-1/sling-bag/f/v/j/studded-messenger-bag-htmb-093-messenger-bag-the-house-of-tara-original-imaf98gde8g7yhzf.jpeg?q=90;https://rukminim1.flixcart.com/image/400/400/jmnrtzk0-1/sling-bag/f/v/j/studded-messenger-bag-htmb-093-messenger-bag-the-house-of-tara-original-imaf98gde8g7yhzf.jpeg?q=90;https://rukminim1.flixcart.com/image/800/800/jmnrtzk0-1/sling-bag/f/v/j/studded-messenger-bag-htmb-093-messenger-bag-the-house-of-tara-original-imaf98gde8g7yhzf.jpeg?q=90,,1799.0,1799.0,891.0,http://www.flipkart.com/house-tara-men-women-casual-black-canvas-fabric-messenger-bag/p/itmf8sgxy9t7zdx5?pid=SLBF8SYSJH4GEFVJ,"Lifestyle>Leather & Travel Accessories>Bags & Bagpacks>Cross Body Bags","The House of Tara","SLBF8SYSVUGF86HY,SLBF8SYSRUYGHYCV,SLBF8SYSC6GND4WZ,SLBF8SYS2SPSEABZ,SLBF8SYSYAJRAQPZ,SLBF8SYSFJTPGK9J,SLBF8SYSCG5EKSK8",true,TRUE,0,50,0.0,"Usually Delivered in 5 - 6 days.",0,Black,0,0,0,"Style: Messenger Bag;Ideal For: Men & Women;Closure: Buckle, Twist Clasp;Color: Black;Material: Canvas, Fabric","Style: Messenger Bag;Ideal For: Men & Women;Closure: Buckle, Twist Clasp;Color: Black;Material: Canvas, Fabric",0,"Vandit Aneja",0.0,0,0,0,0,,"This Crossbody Messenger Bag made in specially treated canvas fabric is stylishly crafted for everyday use. It has a zip pocket at the back to keep your quick access items. The inside lining has two slip pockets to keep your mobile etc and one more zip pocket. The main compartment has a flap and dog buckle closure. The flap is embellished with metal studs that enhance the overall appeal of the bag. The bag has a short haul handle and an adjustable shoulder strap for ease of carrying.",,,flipkart,1,"2019-06-12 14:11:01","2019-06-25 11:14:56"
